image,label
000000.jpg,188
000001.jpg,85
000002.jpg,101
000003.jpg,57
000004.jpg,31
000005.jpg,155
000006.jpg,23
000007.jpg,83
000008.jpg,75
000009.jpg,5
000010.jpg,142
000011.jpg,31
000012.jpg,152
000013.jpg,190
000014.jpg,85
000015.jpg,60
000016.jpg,148
000017.jpg,119
000018.jpg,123
000019.jpg,85
000020.jpg,103
000021.jpg,78
000022.jpg,4
000023.jpg,67
000024.jpg,6
000025.jpg,152
000026.jpg,56
000027.jpg,123
000028.jpg,179
000029.jpg,107
000030.jpg,168
000031.jpg,103
000032.jpg,80
000033.jpg,73
000034.jpg,59
000035.jpg,32
000036.jpg,92
000037.jpg,92
000038.jpg,83
000039.jpg,168
000040.jpg,156
000041.jpg,92
000042.jpg,86
000043.jpg,93
000044.jpg,75
000045.jpg,88
000046.jpg,6
000047.jpg,168
000048.jpg,175
000049.jpg,31
000050.jpg,5
000051.jpg,44
000052.jpg,5
000053.jpg,58
000054.jpg,63
000055.jpg,58
000056.jpg,128
000057.jpg,128
000058.jpg,144
000059.jpg,155
000060.jpg,68
000061.jpg,113
000062.jpg,87
000063.jpg,189
000064.jpg,63
000065.jpg,31
000066.jpg,128
000067.jpg,46
000068.jpg,75
000069.jpg,116
000070.jpg,100
000071.jpg,14
000072.jpg,13
000073.jpg,4
000074.jpg,114
000075.jpg,66
000076.jpg,107
000077.jpg,192
000078.jpg,107
000079.jpg,145
000080.jpg,132
000081.jpg,162
000082.jpg,46
000083.jpg,106
000084.jpg,36
000085.jpg,195
000086.jpg,127
000087.jpg,134
000088.jpg,36
000089.jpg,158
000090.jpg,4
000091.jpg,12
000092.jpg,62
000093.jpg,17
000094.jpg,103
000095.jpg,140
000096.jpg,26
000097.jpg,56
000098.jpg,76
000099.jpg,142
000100.jpg,192
000101.jpg,139
000102.jpg,14
000103.jpg,105
000104.jpg,158
000105.jpg,145
000106.jpg,91
000107.jpg,29
000108.jpg,55
000109.jpg,164
000110.jpg,178
000111.jpg,120
000112.jpg,37
000113.jpg,75
000114.jpg,8
000115.jpg,10
000116.jpg,130
000117.jpg,35
000118.jpg,123
000119.jpg,177
000120.jpg,159
000121.jpg,76
000122.jpg,74
000123.jpg,37
000124.jpg,126
000125.jpg,35
000126.jpg,107
000127.jpg,53
000128.jpg,69
000129.jpg,118
000130.jpg,183
000131.jpg,119
000132.jpg,49
000133.jpg,57
000134.jpg,55
000135.jpg,39
000136.jpg,145
000137.jpg,5
000138.jpg,30
000139.jpg,25
000140.jpg,4
000141.jpg,27
000142.jpg,138
000143.jpg,52
000144.jpg,50
000145.jpg,99
000146.jpg,143
000147.jpg,50
000148.jpg,146
000149.jpg,98
000150.jpg,64
000151.jpg,13
000152.jpg,81
000153.jpg,120
000154.jpg,60
000155.jpg,20
000156.jpg,112
000157.jpg,141
000158.jpg,101
000159.jpg,4
000160.jpg,50
000161.jpg,163
000162.jpg,163
000163.jpg,54
000164.jpg,169
000165.jpg,141
000166.jpg,62
000167.jpg,115
000168.jpg,119
000169.jpg,168
000170.jpg,113
000171.jpg,73
000172.jpg,124
000173.jpg,80
000174.jpg,88
000175.jpg,29
000176.jpg,128
000177.jpg,189
000178.jpg,24
000179.jpg,159
000180.jpg,61
000181.jpg,4
000182.jpg,93
000183.jpg,92
000184.jpg,1
000185.jpg,189
000186.jpg,187
000187.jpg,18
000188.jpg,185
000189.jpg,12
000190.jpg,0
000191.jpg,41
000192.jpg,24
000193.jpg,179
000194.jpg,118
000195.jpg,114
000196.jpg,44
000197.jpg,184
000198.jpg,98
000199.jpg,178
000200.jpg,89
000201.jpg,12
000202.jpg,156
000203.jpg,174
000204.jpg,16
000205.jpg,0
000206.jpg,4
000207.jpg,3
000208.jpg,138
